,road_number,origin_address,destination_address,distance,watercrossing,origin_lat,origin_long,destination_lat,destination_long,origin_lat_rad,origin_long_rad,destination_lat_rad,destination_long_rad
384,E44,"Amiens, France","Charleville-Mézières, France",198,False,49.8941708,2.2956951,49.7735712,4.7206939,0.8708175580124131,0.04006743811690048,0.8687126979158251,0.08239165153381194
385,E44,"Le Havre, France","Amiens, France",178,False,49.4938975,0.1079732,49.8941708,2.2956951,0.8638314710195901,0.0018844878439143416,0.8708175580124131,0.04006743811690048
386,E44,"Koblenz, Germany","Gießen, Germany",106,False,50.3533278,7.5943951,50.5862066,8.6742306,0.8788313594459928,0.13254719919232402,0.882895861264086,0.15139388404724324
387,E44,"Trier, Germany","Koblenz, Germany",126,False,49.7596208,6.6441878,50.3533278,7.5943951,0.8684692175038548,0.1159629532308385,0.8788313594459928,0.13254719919232402
388,E44,"Luxembourg, Luxembourg","Trier, Germany",46,False,49.6112768,6.129799,49.7596208,6.6441878,0.8658801262782763,0.1069851750354559,0.8684692175038548,0.1159629532308385
389,E44,"Charleville-Mézières, France","Luxembourg, Luxembourg",153,False,49.7735712,4.7206939,49.6112768,6.129799,0.8687126979158251,0.08239165153381194,0.8658801262782763,0.1069851750354559
390,E45,"Siracusa, Italy","Gela, Italy",154,False,37.0646139,15.2907196,37.0664363,14.2502445,0.6468995485354563,0.2668734020192303,0.6469313554157446,0.2487136857392131
391,E45,"Sicignano degli Alburni, Italy","Cosenza, Italy",222,False,40.5810419,15.300396408040797,39.596685300000004,16.333055599019605,0.7082727950447755,0.2670422941806257,0.6910925313610387,0.28506559711418683
392,E45,"Bologna, Italy","Cesena, Italy",95,False,44.4937577,11.3430308,44.136352,12.2422442,0.7765625684495794,0.19797323461512642,0.7703246622191843,0.21366746912317916
393,E45,"Cesena, Italy","Perugia, Italy",154,False,44.136352,12.2422442,43.1070321,12.402996209906487,0.7703246622191843,0.21366746912317916,0.7523596409078854,0.21647312097524593
394,E45,"Perugia, Italy","Fiano Romana, Italy",148,False,43.1070321,12.402996209906487,44.4866354,11.3401649,0.7523596409078854,0.21647312097524593,0.7764382608642646,0.19792321522409348
395,E45,"Göteborg, Sweden","Frederikshavn, Denmark",90,True,57.7072326,11.9670171,57.4412134,10.5336225,1.0071812110842078,0.20886385003746352,1.0025383001706867,0.1838463947871564
396,E45,"San Cesareo, Italy","Napoli, Italy",200,False,41.819196,12.8003335,40.8359336,14.2487826,0.7298826607368426,0.2234079649283296,0.7127214944457809,0.24868817077087818
397,E45,"Catánia, Italy","Siracusa, Italy",66,False,37.5022355,15.08738,37.0646139,15.2907196,0.6545374863333019,0.26332445649954206,0.6468995485354563,0.2668734020192303
398,E45,"Nürnberg, Germany","München, Germany",165,False,49.453872,11.077298,48.1371079,11.5753822,0.8631328942598332,0.19333532232458284,0.8401510252427733,0.20202853156674475
399,E45,"Villa San Giovanni, Italy","Messina, Italy",8,True,38.2201116,15.6373809,38.1937571,15.5542082,0.667066787899678,0.27292378309347415,0.6666068151019611,0.27147214563070066
400,E45,"Messina, Italy","Catánia, Italy",98,False,38.1937571,15.5542082,37.5022355,15.08738,0.6666068151019611,0.27147214563070066,0.6545374863333019,0.26332445649954206
401,E45,"Modena, Italy","Bologna, Italy",42,False,44.5384728,10.935960870530739,44.4937577,11.3430308,0.7773429941699379,0.1908685240600267,0.7765625684495794,0.19797323461512642
